job_title,company,job_location,job_summary,today,job_salary,extracted_skills,yearly_salary
technology lead : data science i machine learning,Infosys Limited,"Bengaluru, Karnataka","A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue…",2022-07-26,Not Disclosed,[],
"software engineer, machine learning",Google,"Bengaluru, Karnataka",2 years of relevant work experience in machine learning software development and architectures for machine learning (with focus on deep learning).,2022-07-26,Not Disclosed,"['machine learning', 'deep learning']",
experienced over the shoulder mechanic- c17,BOEING,"Air Force Station, Karnataka","This position will focus on supporting the Boeing Defense India (BDI) business organization.,He must be willing to work flexible hours (early or late as needed)…",2022-07-26,Not Disclosed,[],
data scientist,Infosys Limited,"Bengaluru, Karnataka","Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning &…",2022-07-26,Not Disclosed,[],
python developer,Infosys Limited,"Bengaluru, Karnataka","Should have a decent understanding of the Machine learning algorithms such as the clustering and classification algorithms, experience in model management, and…",2022-07-26,Not Disclosed,['machine learning'],
senior data analyst,AdTech Holding,"Bengaluru, Karnataka","Work on the development of the PropellerAds product: conduct exploratory analysis - put forward hypotheses, select metrics, and conduct research and experiments…",2022-07-26,"₹80,045 a month",[],960540.0
machine learning engineer,Oracle,"Bengaluru, Karnataka+1 location","Good understanding of deep learning frameworks (like Tensorflow, Keras or PyTorch).,Design, develop, troubleshoot and debug software programs for databases,…",2022-07-26,Not Disclosed,"['deep learning', 'tensorflow', 'pytorch']",
machine learning-python,Atos,"Pune, Maharashtra","Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Machine Learning, Data Science, Python, algorithm,…",2022-07-26,"₹18,00,000 - ₹22,00,000 a year","['python', 'machine learning']",2000000.0
data analytics,Infochola,India,"Very good experience in Python/R, SQL or on related machine learning technologies.,Responsible for designing & developing analysis with Dashboards,…",2022-07-26,Not Disclosed,"['python', 'sql', 'machine learning', 'r']",
machine learning data engineer,BlueOptima,"Bengaluru, Karnataka",Minimum of 3+ years experience in developing solutions with at least 2+ years using Machine learning Algorithms in industry.,2022-07-26,Not Disclosed,['machine learning'],
machine learning engineer,Impetus Technologies,"Gurgaon, Haryana","Machine learning and Deep Learning Algorithms.,Machine Learning model development engineers with Natural Language Processing(NLP) and Computer Vision, python…",2022-07-26,Not Disclosed,"['python', 'machine learning', 'deep learning', 'nlp']",
